id,title,slug,address,latitude,longitude
1167,Cour d'honneur du palais des Papes,cour-d-honneur-du-palais-des-papes,Place du Palais 84000 Avignon,43.950612,4.807351
1169,La FabricA du Festival d'Avignon,la-fabrica-du-festival-d-avignon,11 rue Paul Achard 84000 Avignon,43.934772,4.797077
36636,Opéra Grand Avignon,opera-grand-avignon,place de l'Horloge 84000 Avignon,43.94974,4.80573
36632,Carrière de Boulbon,carriere-de-boulbon,Carrière de Boulbon 13150 Boulbon,43.885877,4.706206
1171,Cloître des Carmes,cloitre-des-carmes,Place des Carmes 84000 Avignon,43.95094,4.81294
36634,Cloître des Célestins,cloitre-des-celestins,place des Corps-Saints 84000 Avignon,43.94393,4.80776
1175,"Cour du lycée Saint-Joseph",cour-du-lycee-saint-joseph,62 rue des Lices 84000 Avignon,43.94576,4.81144
1179,Gymnase du lycée Aubanel,gymnase-du-lycee-aubanel,14 rue Palapharnerie 84000 Avignon,43.952393,4.811959
1177,Théâtre Benoît-XII,theatre-benoit-xii,12 rue des Teinturiers 84000 Avignon,43.94509,4.81299
1185,L'Autre Scène du Grand Avignon – Vedène,l-autre-scene-du-grand-avignon-–-vedene,Avenue Pierre de Coubertin 84270 Vedène,43.97919,4.90862
1191,Gymnase du lycée Mistral,gymnase-du-lycee-mistral,20 boulevard Raspail 84000 Avignon,43.9455,4.80206
1201,Collection Lambert,collection-lambert,5 rue Violette 84000 Avignon,43.94495,4.8044
1203,Jardin de la Vierge du lycée Saint-Joseph,jardin-de-la-vierge-du-lycee-saint-joseph,62 rue des Lices 84000 Avignon,43.94555,4.81086
1215,Jardin de la rue de Mons – Maison Jean Vilar,jardin-de-la-rue-de-mons-–-maison-jean-vilar,Rue de Mons 84000 Avignon,43.94961,4.80672
1187,Chartreuse de Villeneuve lez Avignon,chartreuse-de-villeneuve-lez-avignon,58 rue de la République 30400 Villeneuve lez Avignon,43.966004,4.796233
343550,Mahabharata – Bar du Festival,mahabharata-–-bar-du-festival,"10 rue des Teinturiers, 84000 Avignon",43.944988,4.813728
1239,Cour du château de Vacqueyras,cour-du-chateau-de-vacqueyras,Place de l'Église 84190 Vacqueyras,44.13822,4.98201
201876,Théâtre de Verdure à Courthézon,theatre-de-verdure-a-courthezon,Parc Val Seille 1 bdv Jean Vilar 84350 Courthézon,44.08961,4.882997
331488,Site archéologique de Glanum à Saint-Rémy-de-Provence,site-archeologique-de-glanum-a-saint-remy-de-provence,"Av. Vincent Van Gogh, 13210 Saint-Rémy-de-Provence",43.7736,4.833
1231,Salle des fêtes La Pastourelle à Saint-Saturnin-lès-Avignon,salle-des-fetes-la-pastourelle-a-saint-saturnin-les-avignon,Avenue du Général de Gaulle 84450 Saint-Saturnin-lès-Avignon,43.95681,4.92895
1229,Complexe sportif Jean Galia à Rochefort-du-Gard,complexe-sportif-jean-galia-a-rochefort-du-gard,1 avenue du Languedoc 30650 Rochefort-du-Gard,43.979337,4.684165
1253,Espace Baron de Chabert à Barbentane,espace-baron-de-chabert-a-barbentane,Rue du château 13570 Barbentane,43.900195,4.746978
331489,Les Arènes de Vallabrègues,les-arenes-de-vallabregues,30300 Vallabrègues,43.854103,4.628512
1241,Salle Roger Orlando à Caumont-sur-Durance,salle-roger-orlando-a-caumont-sur-durance,Place du Marché 84510 Caumont-sur-Durance,43.89352,4.94813
60849,Cour du Château d’Aramon,cour-du-chateau-d-aramon,"12 rue des Cardinaux, 30390 Aramon",43.890665,4.681412
200865,Salle des fêtes de L’Isle-sur-la-Sorgue,salle-des-fetes-de-l-isle-sur-la-sorgue,"1 Avenue Napoléon Bonaparte, 84800 L'Isle-sur-la-Sorgue",43.923914,5.052738
1251,Cour du château de Saze,cour-du-chateau-de-saze,4 Place de la Fontaine 30650 Saze,43.941111,4.681667
351887,Bibliothèque du Puzzle,bibliotheque-du-puzzle,"4, rue Pierre-Auguste Renoir",43.948341,4.85181
351885,Bibliothèque Renaud Barrault,bibliotheque-renaud-barrault,"6 Rue Perrin Morel, 84000 Avignon, France",43.929993,4.822993
36791,Festival Villeneuve en Scène,festival-villeneuve-en-scene,"Plaine de l'Abbaye, 30400 Villeneuve-lès-Avignon",43.96445,4.802611
348672,"Forum des Angles, salle Blanchard",forum-des-angles-salle-blanchard,"10 Bd des Carrières, 30133 Les Angles",43.960157,4.767635
1193,Les Hivernales – CDCN d'Avignon,les-hivernales-–-cdcn-d-avignon,18 rue Guillaume Puy 84000 Avignon,43.9496,4.8142700000000005
36782,Médiathèque Ceccano,mediatheque-ceccano,"2 bis, rue Laboureur - Avignon",43.946003,4.80687
351166,Salle des colloques – Cloître Saint-Louis,salle-des-colloques-–-cloitre-saint-louis,20 rue du portail Boquier 84000 Avignon,43.943603,4.804582
348671,Salle polyvalente de Pujaut,salle-polyvalente-de-pujaut,"1 Place du Marché, 30131 Pujaut",44.002895,4.774796
352026,Villa Créative – Avignon Université,villa-creative-–-avignon-universite,"33 bis Rue Louis Pasteur, 84000 Avignon",43.949848,4.816221
